
2025/03/31 (15:09:35) | ===> btop++ v.1.4.0
2025/03/31 (15:09:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (15:12:25) | ===> btop++ v.1.4.0
2025/03/31 (15:12:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (17:17:34) | ===> btop++ v.1.4.0
2025/03/31 (17:17:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (17:19:35) | ===> btop++ v.1.4.0
2025/03/31 (17:19:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (17:38:06) | ===> btop++ v.1.4.0
2025/03/31 (17:38:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (18:08:22) | ===> btop++ v.1.4.0
2025/03/31 (18:08:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (13:43:47) | ===> btop++ v.1.4.0
2025/04/01 (13:43:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (14:49:08) | ===> btop++ v.1.4.0
2025/04/01 (14:49:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (14:49:54) | ===> btop++ v.1.4.0
2025/04/01 (14:49:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (14:51:24) | ===> btop++ v.1.4.0
2025/04/01 (14:51:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (14:56:16) | ===> btop++ v.1.4.0
2025/04/01 (14:56:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (14:59:04) | ===> btop++ v.1.4.0
2025/04/01 (14:59:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (15:03:58) | ===> btop++ v.1.4.0
2025/04/01 (15:03:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (15:04:37) | ===> btop++ v.1.4.0
2025/04/01 (15:04:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (15:22:31) | ===> btop++ v.1.4.0
2025/04/01 (15:22:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (15:33:11) | ===> btop++ v.1.4.0
2025/04/01 (15:33:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (15:46:01) | ===> btop++ v.1.4.0
2025/04/01 (15:46:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (15:53:34) | ===> btop++ v.1.4.0
2025/04/01 (15:53:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (16:51:20) | ===> btop++ v.1.4.0
2025/04/01 (16:51:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (18:50:13) | ===> btop++ v.1.4.0
2025/04/01 (18:50:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (23:13:53) | ===> btop++ v.1.4.0
2025/04/01 (23:13:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (14:58:01) | ===> btop++ v.1.4.0
2025/04/02 (14:58:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (15:12:01) | ===> btop++ v.1.4.0
2025/04/02 (15:12:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (16:40:57) | ===> btop++ v.1.4.0
2025/04/02 (16:40:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (18:50:07) | ===> btop++ v.1.4.0
2025/04/02 (18:50:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (18:59:59) | ===> btop++ v.1.4.0
2025/04/02 (18:59:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (20:14:05) | ===> btop++ v.1.4.0
2025/04/02 (20:14:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (20:29:53) | ===> btop++ v.1.4.0
2025/04/02 (20:29:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (20:33:31) | ===> btop++ v.1.4.0
2025/04/02 (20:33:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (20:45:36) | ===> btop++ v.1.4.0
2025/04/02 (20:45:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (21:30:03) | ===> btop++ v.1.4.0
2025/04/02 (21:30:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (21:40:31) | ===> btop++ v.1.4.0
2025/04/02 (21:40:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (21:53:12) | ===> btop++ v.1.4.0
2025/04/02 (21:53:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (21:55:37) | ===> btop++ v.1.4.0
2025/04/02 (21:55:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (22:11:56) | ===> btop++ v.1.4.0
2025/04/02 (22:11:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (09:05:08) | ===> btop++ v.1.4.0
2025/04/03 (09:05:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (09:08:27) | ===> btop++ v.1.4.0
2025/04/03 (09:08:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (09:10:40) | ===> btop++ v.1.4.0
2025/04/03 (09:10:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (09:33:00) | ===> btop++ v.1.4.0
2025/04/03 (09:33:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (09:36:04) | ===> btop++ v.1.4.0
2025/04/03 (09:36:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (09:44:17) | ===> btop++ v.1.4.0
2025/04/03 (09:44:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (09:52:37) | ===> btop++ v.1.4.0
2025/04/03 (09:52:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (09:54:19) | ===> btop++ v.1.4.0
2025/04/03 (09:54:19) | WARNING: Intel GPU: Failed to initialize PMU
